path,wa,channel,datetime,time,date,test
../../tamago_data/2020-12-01/2020-12-01+12-06-42_2.wav,99793,2,2020-12-01 12:06:42,12-06-42,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-06-42_6.wav,76059,6,2020-12-01 12:06:42,12-06-42,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-06-42_7.wav,86975,7,2020-12-01 12:06:42,12-06-42,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_0.wav,90799,0,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_7.wav,87895,7,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_3.wav,96085,3,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_4.wav,81312,4,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_2.wav,99262,2,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_1.wav,99851,1,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_6.wav,75506,6,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-08-15_5.wav,76911,5,2020-12-01 12:08:15,12-08-15,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_7.wav,86896,7,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_6.wav,75229,6,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_5.wav,75864,5,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_3.wav,93741,3,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_4.wav,79587,4,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_1.wav,99041,1,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_2.wav,97898,2,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-09-49_0.wav,90334,0,2020-12-01 12:09:49,12-09-49,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_2.wav,99741,2,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_5.wav,76203,5,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_3.wav,95698,3,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_6.wav,75385,6,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_7.wav,88178,7,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_0.wav,90999,0,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_1.wav,100586,1,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-11-23_4.wav,80101,4,2020-12-01 12:11:23,12-11-23,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_5.wav,76748,5,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_1.wav,99831,1,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_3.wav,95120,3,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_0.wav,90586,0,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_2.wav,99007,2,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_7.wav,87779,7,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_4.wav,80399,4,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-12-57_6.wav,75843,6,2020-12-01 12:12:57,12-12-57,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_2.wav,99280,2,2020-12-01 12:14:30,12-14-30,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_6.wav,75294,6,2020-12-01 12:14:30,12-14-30,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_0.wav,91343,0,2020-12-01 12:14:30,12-14-30,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_1.wav,100204,1,2020-12-01 12:14:30,12-14-30,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_3.wav,95553,3,2020-12-01 12:14:30,12-14-30,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_5.wav,76684,5,2020-12-01 12:14:30,12-14-30,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_4.wav,81001,4,2020-12-01 12:14:30,12-14-30,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-14-30_7.wav,87876,7,2020-12-01 12:14:30,12-14-30,2020/12/01,
